COMMENT;VALUE
Mohon infonya dong agar vaksin LN bisa masuk ke peduli lindungi gimana caranya? Saya sudah hubungi web nya tapi sampai sekarang belum muncul juga di peduli lindungi 🙏🙏;POSITIF
Di update malah g bisa buka sertifikat vaksin, payah;POSITIF
Terimakasih PeduliLindungi;POSITIF
Update Yg Baru Malah Ribet ...Mau Daftar Pelayanan Malah Di Suruh Konfirmasi Faskes Dulu .... Belum Sempurna Aplikasi Yg Baru Harusnya Jangan Di Anjurkan Ganti Untuk Pemggunanya ...Payah;POSITIF
Aplikasi payah , mainin data masyarakat , udah dapet tiket vaksin boster udah divaksin boster , pas mau di registrasi kena DO di vaksin 1 , kalo tau gitu harusnya pas saya mau vaksin 2 ada penjelasannya minimal dari nakes yang bertugas kalo saya harus ulang vaksin ke 1 karena data vaksin pertama di DO.;POSITIF
Semoga bermanfaat;POSITIF
apk minta update terus?!;POSITIF
Terlalu sering update kesel banget;POSITIF
Setelah Vaksin tubuh malah jadi gampang sakit ketimbang sebelum vaksin. Fakta yg saya rasakan.;POSITIF
Apk nya bagus banget;POSITIF
Giman caranya biar bisa instal apl pedulilindungi setelah d hapus ga bisa instal lagi;POSITIF
tiap di perbarui selalu kena trouble, gasuka:(;POSITIF
Lumayan buat nambah pengetahuan;POSITIF
Pengalaman pake aplikasi ini sangat memudahkan untuk melacak sertifikat vaksin. Cuma sayang. Knpa sekarang susah di Download;POSITIF
Sangat membantu;POSITIF
Dikit dikit harus diperbarui Males banget Kalo bukan karena kerjaan udah di unisntall aja;POSITIF
Mau daftar aja susah;POSITIF
Tidak bisa klaim sertifikat vaksin.. gimana? Sering error;POSITIF
"Tlg aplikasix d perbaiki...udah download berkali""... ttp aja gak bsa ke buka...udah vaksin...gak jd d input karna bermslh d apkasi... ribet amatttt dah...";POSITIF
Keluhan sy : Pd saat vaksin ke-1(7 September 2021), kata petugasnya NIK sy tidak terdaftar, ya sudah sy dikasih kartu kecil tulisan tangan. Lalu waktu vaksin ke-2(05 Oktober 2021) sy bilang kpd petugasnya kalo NIK sy bisa terdaftar di Apk pedulilindungi. Dan ternyata bisa, jdi waktu vaksin ke-2 sertifikat sy yg dikonfirmasi/yg masuk diapk itu yang vaksin ke-1(05 Oktober 2021). Dan sampai sekarang sertifikat sy masih vaksin 1. Mhon dbenahi dong sy sdh vaksin 2× nanti dikiranya cm 1×;POSITIF
Minta di update mlu 😭🙏🏻 iya si buat memperbaiki aplikasi nya ke versi yg lebi bagus, tapi ga setiap kli mau buka harus update dlu kli😭🙏🏻;POSITIF
Lebih mudah pergi kemanapun;POSITIF
Aplikasi ga jelas, udah saya perbarui masih saja ada notif disuruh perbarui, dan saya udah buat akun ya kok disuruh daftar terus, dan juga info sertifikat itu juga padahal saya udah melakukan vaksinasi tapi info disitu tidak aja, dan slow respon banget.;POSITIF
Sangat membantu dalam memberikan informasi faktual tentang covid 19🙏🙏😁👍;POSITIF
Bagus aplikasi ini;POSITIF
Apps nya error terus..gk becus jdi aparat jg ngurus beginian..makan gaji buta lu pada anjeng;POSITIF
Udh vaksin ke 3x lapor sana sini oper sana sini gak jelas jd gak muncul deh sertifikat yg ke 3 masa Iya di suruh vaksin lagi 4x gila loe dro;POSITIF
sangat baik untuk kesehatan;POSITIF
bolal balik update terus-_- aku kasih bintang 0 kalo ada;POSITIF
Aplikasi apaan ini, bukannya mempermudah malahan mempersulit penggunaan;POSITIF
Da jelas.. ribet , ga efisien;POSITIF
Aman dan terlindungi;POSITIF
Hidup sehat sepanjang hari;POSITIF
Aplikasinya bagus sekali;POSITIF
Tolong instal kembali aplikasi ini agar saya menginstal kembali;POSITIF
