COMMENT,VALUE
mohon info vaksin ln masuk peduli lindung gimana hubung web nya muncul peduli lindung,POSITIF
update g buka sertifikat vaksin payah,POSITIF
terimakasih pedulilindungi,POSITIF
update yg ribet daftar layan suruh konfirmasi faskes sempurna aplikasi yg anjur ganti pemggunanya payah,POSITIF
aplikasi payah mainin data masyarakat udah dapet tiket vaksin boster udah vaksin boster pas registrasi kena do vaksin   kalo tau gitu pas vaksin   jelas minimal nakes tugas kalo ulang vaksin   data vaksin do,POSITIF
moga manfaat,POSITIF
apk update,POSITIF
update kesel banget,POSITIF
vaksin tubuh gampang sakit ketimbang vaksin fakta yg rasa,POSITIF
apk nya bagus banget,POSITIF
gim biar instal apl pedulilindungi d hapus ga instal,POSITIF
baru kena trouble gasuka,POSITIF
lumayan nambah tahu,POSITIF
alam pake aplikasi mudah lacak sertifikat vaksin sayang knpa susah download,POSITIF
bantu,POSITIF
dikit dikit baru males banget kalo kerja udah unisntall aja,POSITIF
daftar aja susah,POSITIF
klaim sertifikat vaksin gimana error,POSITIF
tlg aplikasix d baik udah download kali ttp aja gak bsa buka udah vaksin gak jd d input karna bermslh d apkasi ribet amatttt dah,POSITIF
keluh sy pd vaksin     september   tugas nik sy daftar ya sy kasih kartu tulis tangan vaksin     oktober   sy bilang kpd tugas kalo nik sy daftar apk pedulilindungi jdi vaksin   sertifikat sy yg konfirmasi yg masuk diapk vaksin     oktober   sertifikat sy vaksin   mhon dbenahi sy sdh vaksin   kira cm  ,POSITIF
update mlu iya si baik aplikasi nya versi yg lebi bagus ga kli buka update dlu kli,POSITIF
mudah pergi mana,POSITIF
aplikasi ga udah baru notif suruh baru udah akun ya suruh daftar info sertifikat udah vaksinasi info situ aja slow respon banget,POSITIF
bantu informasi faktual covid  ,POSITIF
bagus aplikasi,POSITIF
apps nya error gk becus jdi aparat jg ngurus makan gaji buta lu anjeng,POSITIF
udh vaksin  x lapor oper gak jd gak muncul deh sertifikat yg   iya suruh vaksin  x gila loe dro,POSITIF
sehat,POSITIF
bolal update  kasih bintang   kalo,POSITIF
aplikasi mudah sulit guna,POSITIF
da ribet ga efisien,POSITIF
aman lindung,POSITIF
hidup sehat,POSITIF
aplikasi bagus,POSITIF
tolong instal aplikasi menginstal,POSITIF
ih loging ulang gabisa buka apk nya,POSITIF
parah nih apk udh vaksin tpi sertifikat nya ga muncul pdhl udh bener ngisi data,POSITIF
bantu,POSITIF
lihat sertivikat faksin,POSITIF
bantu,POSITIF
mudah akses good job,POSITIF
bantu,POSITIF
bagus,POSITIF
skrng kebnyakn baharu,POSITIF
bagus bgt info,POSITIF
tolong perbaikin aplikasi suda kali  logout namin nga masuk nomornynya ngada respon butu aplikasi kola,POSITIF
aplikasi pedulindungi buka,POSITIF
bantu dlm bidang sehat operasional mud,POSITIF
aplikasi nya masalah pas klaim sertifikat vaksin gak,POSITIF
sertifikat muncul,POSITIF
tuju aplikasi pedulilindungi cepat kece status sertifikat vaksin korona bandara antri lanjut loket check in terbang,POSITIF
aplikasi jelek parah,POSITIF
bagus aplikasi update isi data tele tele praktis nyesel up date terima kasih,POSITIF
oke terima kasih,POSITIF
app sehat yg bagus,POSITIF
tampil cepat info butuh,POSITIF
